Domain,User Name,Start Date,Owner,Server,Is Suspended, Suspension Date, Suspension Reason
aaci.mx,aaci,2019-11-16 13:38,dynamicsolutions,chi-node68.websitehostserver.net,,,
aajaliscocentro.com.mx,aajalisc,2014-12-11 09:43,dynamicsolutions,chi-node68.websitehostserver.net,,,
aajaliscooriente.com,aaoriente,2015-05-04 19:01,dynamicsolutions,chi-node68.websitehostserver.net,,,
acmaquinariacabal.com.mx,acmaquinaria,2017-07-15 17:42,dynamicsolutions,chi-node68.websitehostserver.net,,,
akma.mx,akma,2017-10-03 13:16,dynamicsolutions,chi-node68.websitehostserver.net,,,
alexramirez.mx,alexramirez,2017-12-22 16:12,dynamicsolutions,chi-node68.websitehostserver.net,,,
alquimiafest.com,alquimiafest,2019-07-09 13:52,dynamicsolutions,chi-node68.websitehostserver.net,,,
amq.org.mx,amq,2017-09-02 12:32,dynamicsolutions,chi-node68.websitehostserver.net,,,
anestesicos.com,anestesicos,2018-06-14 18:48,dynamicsolutions,chi-node68.websitehostserver.net,1,2019-06-14 19:00,Unknown
anestesiologosdejalisco.org,anestesiologos,2018-06-14 18:49,dynamicsolutions,chi-node68.websitehostserver.net,1,2019-06-14 19:00,Unknown
apmshopping.com,apmshopping,2017-06-08 14:13,dynamicsolutions,chi-node68.websitehostserver.net,,,
autoscala.com,autoscala,2018-06-14 23:37,dynamicsolutions,chi-node68.websitehostserver.net,,,
bakeandkitchen.com,bakeandkitchen,2017-02-25 00:09,dynamicsolutions,chi-node68.websitehostserver.net,,,
banple.mx,banple,2020-04-07 16:10,dynamicsolutions,chi-node68.websitehostserver.net,,,
banquetesgael.com.mx,banquetesgael,2016-09-13 17:26,dynamicsolutions,chi-node68.websitehostserver.net,,,
bikemarket.mx,bikemarket,2017-09-11 17:01,dynamicsolutions,chi-node68.websitehostserver.net,,,
blueparrot.mx,blueparrot,2017-12-19 14:19,dynamicsolutions,chi-node68.websitehostserver.net,,,
bolpack.com,bolpack,2017-02-26 12:55,dynamicsolutions,chi-node68.websitehostserver.net,,,
bolsosgorett.com,bolsos,2018-05-04 18:20,dynamicsolutions,chi-node68.websitehostserver.net,,,
braintreeschool.com.mx,braintree,2018-04-27 21:20,dynamicsolutions,chi-node68.websitehostserver.net,,,
bugcontrol.mx,bugcontrol,2018-10-24 13:23,dynamicsolutions,chi-node68.websitehostserver.net,,,
capromotora.com,capromotora,2016-10-31 23:51,dynamicsolutions,chi-node68.websitehostserver.net,,,
careguiz.com.mx,careguiz,2016-06-03 18:34,dynamicsolutions,chi-node68.websitehostserver.net,,,
centralc.mx,centralc,2017-02-22 17:19,dynamicsolutions,chi-node68.websitehostserver.net,,,
clinicacontraadiccionesprosperidad.com,clinic70,2018-04-01 23:40,dynamicsolutions,chi-node68.websitehostserver.net,1,2020-05-07 16:07,Unknown
clinicaminnesota.com.mx,clinica,2018-04-01 23:13,dynamicsolutions,chi-node68.websitehostserver.net,1,2020-05-12 14:27,Unknown
cocina23.com.mx,cocina,2018-06-15 16:02,dynamicsolutions,chi-node68.websitehostserver.net,1,2019-06-14 19:38,Unknown
comunidademprendedores.com,emprendedores,2016-11-29 17:16,dynamicsolutions,chi-node68.websitehostserver.net,,,
consentidotienda.com,consentido,2018-04-26 13:46,dynamicsolutions,chi-node68.websitehostserver.net,,,
construccioncontenedores.com,construccion,2018-04-29 22:18,dynamicsolutions,chi-node68.websitehostserver.net,,,
construccionenmovimiento.com,constru,2014-10-26 16:15,dynamicsolutions,chi-node68.websitehostserver.net,,,
consuoffice.com,consuoffice,2017-07-10 11:53,dynamicsolutions,chi-node68.websitehostserver.net,,,
coreenergy.mx,coreenergy,2015-09-14 08:01,dynamicsolutions,chi-node68.websitehostserver.net,,,
craftaviafly.com,craft,2019-10-15 16:23,dynamicsolutions,chi-node68.websitehostserver.net,1,2020-01-28 18:32,Admin
crmawasa.com,crmawasa,2017-05-01 00:21,dynamicsolutions,chi-node68.websitehostserver.net,,,
cursosmarketing.xyz,cursosmarketing,2017-05-30 23:42,dynamicsolutions,chi-node68.websitehostserver.net,,,
cyberterran.com.mx,terran,2010-10-14 12:25,dynamicsolutions,chi-node68.websitehostserver.net,,,
delavinaalacopa.com,lavina,2018-06-20 09:30,dynamicsolutions,chi-node68.websitehostserver.net,,,
delgi.mx,delgi,2016-12-20 18:41,dynamicsolutions,chi-node68.websitehostserver.net,,,
dynamiclabs.mx,dynamic,2014-10-26 16:16,dynamicsolutions,chi-node68.websitehostserver.net,,,
dynamicpc.mx,dynamicp,2014-10-29 11:14,dynamicsolutions,chi-node68.websitehostserver.net,,,
dynamicsolutions.mx,dsolutions,2018-02-07 11:34,dynamicsolutions,chi-node68.websitehostserver.net,,,
egamer.mx,egamer,2014-10-26 16:43,dynamicsolutions,chi-node68.websitehostserver.net,,,
egd.mx,egd,2015-11-28 14:41,dynamicsolutions,chi-node68.websitehostserver.net,,,
elit300.com,elit300,2019-08-24 12:42,dynamicsolutions,chi-node68.websitehostserver.net,,,
elostionfeliz.com,ostion,2018-08-29 11:24,dynamicsolutions,chi-node68.websitehostserver.net,,,
enviaecommerce.com,enviaecommerce,2018-06-14 18:50,dynamicsolutions,chi-node68.websitehostserver.net,,,
eymisolutions.com.mx,eymisol,2019-09-04 17:53,dynamicsolutions,chi-node68.websitehostserver.net,,,
eymisonic.com.mx,eymisonicmx,2019-09-07 13:53,dynamicsolutions,chi-node68.websitehostserver.net,1,2020-05-08 11:06,Unknown
eymisonics.com,eymisonic,2019-02-14 13:09,dynamicsolutions,chi-node68.websitehostserver.net,,,
fabricacionesmexicanas.com.mx,fabricac,2018-05-26 10:48,dynamicsolutions,chi-node68.websitehostserver.net,,,
facturacionelectronicasat.mx,facturacion,2017-01-14 18:08,dynamicsolutions,chi-node68.websitehostserver.net,,,
facturaelectronicasat.com,factura,2017-01-14 18:11,dynamicsolutions,chi-node68.websitehostserver.net,,,
foodcorner.com.mx,foodcorner,2017-07-16 20:59,dynamicsolutions,chi-node68.websitehostserver.net,,,
galipez.com.mx,galipez,2018-02-12 09:36,dynamicsolutions,chi-node68.websitehostserver.net,,,
genericosdelimpieza.com,genericos,2018-04-06 11:07,dynamicsolutions,chi-node68.websitehostserver.net,,,
glaubenskins.com,glauben,2018-05-28 16:57,dynamicsolutions,chi-node68.websitehostserver.net,,,
grupomachuka.com.mx,grupo,2018-05-26 10:51,dynamicsolutions,chi-node68.websitehostserver.net,,,
hcasablanca.com.mx,hcasablanca,2017-12-11 11:24,dynamicsolutions,chi-node68.websitehostserver.net,,,
hporto.com,hporto,2017-12-06 14:21,dynamicsolutions,chi-node68.websitehostserver.net,,,
hzirahuen.com,hzirahuen,2017-12-06 14:21,dynamicsolutions,chi-node68.websitehostserver.net,,,
ikdigital2020.com,ikdigi,2020-02-28 11:48,dynamicsolutions,chi-node68.websitehostserver.net,,,
indrey.com.mx,indrey,2017-07-31 14:08,dynamicsolutions,chi-node68.websitehostserver.net,,,
innovacionydiseno.com,diseno,2018-07-16 11:49,dynamicsolutions,chi-node68.websitehostserver.net,,,
ipindustrial.com.mx,ipindustrial,2017-07-15 18:51,dynamicsolutions,chi-node68.websitehostserver.net,,,
jadecreaciones.com.mx,jadecreaciones,2015-11-02 17:03,dynamicsolutions,chi-node68.websitehostserver.net,,,
kinderhappykids.com.mx,kinderh,2014-10-26 16:48,dynamicsolutions,chi-node68.websitehostserver.net,,,
kiper.mx,kipermx,2020-05-06 18:21,dynamicsolutions,chi-node68.websitehostserver.net,,,
kiperapp.com,kiperapp,2020-05-06 18:22,dynamicsolutions,chi-node68.websitehostserver.net,,,
kon2.mx,kon2,2017-01-05 00:07,dynamicsolutions,chi-node68.websitehostserver.net,,,
kundrah.com,kundrah,2017-12-06 14:22,dynamicsolutions,chi-node68.websitehostserver.net,,,
laboccaccia.com.mx,boccaccia,2017-11-06 08:49,dynamicsolutions,chi-node68.websitehostserver.net,,,
latinamericanboats.com,latin,2017-06-19 17:45,dynamicsolutions,chi-node68.websitehostserver.net,,,
latrattorialcz.com,latrattoria,2017-12-19 14:15,dynamicsolutions,chi-node68.websitehostserver.net,,,
launionespoder.com,launionespoder,2016-10-31 23:52,dynamicsolutions,chi-node68.websitehostserver.net,,,
legalware.mx,legalware,2018-06-14 23:24,dynamicsolutions,chi-node68.websitehostserver.net,,,
leojimenez.mx,leojimenez,2017-08-25 10:59,dynamicsolutions,chi-node68.websitehostserver.net,,,
limphocite.com.mx,limphocite,2016-01-07 08:45,dynamicsolutions,chi-node68.websitehostserver.net,,,
linuzresidencial.com.mx,linuzresidencial,2017-10-23 15:45,dynamicsolutions,chi-node68.websitehostserver.net,,,
lionsgym.com.mx,lionsgym,2018-10-01 12:06,dynamicsolutions,chi-node68.websitehostserver.net,,,
losotates.com,losotate,2019-08-06 19:36,dynamicsolutions,chi-node68.websitehostserver.net,,,
mariscosyani.mx,mariscosyani,2018-02-28 12:43,dynamicsolutions,chi-node68.websitehostserver.net,,,
massivedynamic.mx,massivedynamic,2017-01-14 18:18,dynamicsolutions,chi-node68.websitehostserver.net,,,
medicinaintegradora.com.mx,medintegradora,2016-09-05 20:02,dynamicsolutions,chi-node68.websitehostserver.net,,,
mediterraneo.mx,mediterraneo,2016-11-04 00:19,dynamicsolutions,chi-node68.websitehostserver.net,,,
mercadozmg.com,mercadozmg,2015-05-15 00:38,dynamicsolutions,chi-node68.websitehostserver.net,,,
mexicomesh.net,mexicom,2014-10-26 16:51,dynamicsolutions,chi-node68.websitehostserver.net,,,
miapp.xyz,miapp,2016-12-19 15:35,dynamicsolutions,chi-node68.websitehostserver.net,,,
mochilaschenson.com,mochilas,2018-05-04 18:19,dynamicsolutions,chi-node68.websitehostserver.net,1,2020-04-05 14:28,Unknown
myhardreset.com,myhardreset,2016-09-06 20:10,dynamicsolutions,chi-node68.websitehostserver.net,,,
neuroauxilium.com,neuroauxilium,2018-04-16 12:16,dynamicsolutions,chi-node68.websitehostserver.net,1,2019-06-14 19:09,Unknown
ortegapinzon.com,ortegapinzon,2016-08-22 20:44,dynamicsolutions,chi-node68.websitehostserver.net,,,
paginaseconomicas.mx,paginaseconomica,2017-11-03 14:37,dynamicsolutions,chi-node68.websitehostserver.net,,,
paginaseconomicas.xyz,paginas,2017-05-30 23:43,dynamicsolutions,chi-node68.websitehostserver.net,,,
panbueno.mx,panbueno,2019-05-25 11:35,dynamicsolutions,chi-node68.websitehostserver.net,,,
petrova.com.mx,petrova,2017-02-25 00:10,dynamicsolutions,chi-node68.websitehostserver.net,,,
plazaurbanapublicidad.mx,plazaurbana,2017-03-30 20:45,dynamicsolutions,chi-node68.websitehostserver.net,,,
plazavirreyes.com,plazavirreyes,2017-03-31 13:30,dynamicsolutions,chi-node68.websitehostserver.net,,,
politicadigna.com,politicadigna,2017-12-22 16:24,dynamicsolutions,chi-node68.websitehostserver.net,,,
proquemical.com.mx,proquemical,2015-01-19 10:47,dynamicsolutions,chi-node68.websitehostserver.net,,,
qualitycraft.com.mx,qualitycraft,2017-07-31 17:56,dynamicsolutions,chi-node68.websitehostserver.net,,,
r4ptor.mx,r4ptor,2018-06-22 13:20,dynamicsolutions,chi-node68.websitehostserver.net,,,
ramirezyasesores.com.mx,ramirezyasesores,2018-09-14 09:54,dynamicsolutions,chi-node68.websitehostserver.net,,,
renta360.com.mx,renta360,2017-05-24 13:49,dynamicsolutions,chi-node68.websitehostserver.net,,,
reparamiequipo.com,reparamiequipo,2015-04-29 14:09,dynamicsolutions,chi-node68.websitehostserver.net,,,
scmg.mx,scmg,2018-07-30 12:06,dynamicsolutions,chi-node68.websitehostserver.net,,,
securel1nk.com,securel1nk,2017-10-11 09:46,dynamicsolutions,chi-node68.websitehostserver.net,,,
securelink.mx,securelink,2017-11-02 14:37,dynamicsolutions,chi-node68.websitehostserver.net,,,
sgpholding.co,sgp,2020-04-07 11:16,dynamicsolutions,chi-node68.websitehostserver.net,,,
sgt-cleaningsolutions2.ca,cleaning,2019-06-25 22:11,dynamicsolutions,chi-node68.websitehostserver.net,,,
sgt-itsolutions2.ca,itsolutions,2019-06-25 22:12,dynamicsolutions,chi-node68.websitehostserver.net,,,
sgt-talentpower2.ca,talentpower,2019-06-25 22:12,dynamicsolutions,chi-node68.websitehostserver.net,,,
sindolordecabeza.com,sindolordecabeza,2018-08-08 17:33,dynamicsolutions,chi-node68.websitehostserver.net,1,2020-04-05 16:00,Unknown
smartglobaltech2.ca,sgt,2019-06-05 21:33,dynamicsolutions,chi-node68.websitehostserver.net,,,
smmgdl.com,smmgdl,2018-05-16 11:28,dynamicsolutions,chi-node68.websitehostserver.net,,,
sniper.mx,sniper,2019-11-19 15:37,dynamicsolutions,chi-node68.websitehostserver.net,,,
soyaceitedecoco.com,aceite,2019-08-23 15:20,dynamicsolutions,chi-node68.websitehostserver.net,,,
standtek.com.mx,standtek,2017-02-12 12:49,dynamicsolutions,chi-node68.websitehostserver.net,,,
suarezpaintinginc.com,painting,2019-05-24 17:57,dynamicsolutions,chi-node68.websitehostserver.net,,,
tesaron.com.mx,tesaron,2018-05-23 14:25,dynamicsolutions,chi-node68.websitehostserver.net,,,
thepaisanews.com,paisa,2020-01-29 13:42,dynamicsolutions,chi-node68.websitehostserver.net,,,
tinxo.mx,tinxo,2018-08-08 16:10,dynamicsolutions,chi-node68.websitehostserver.net,,,
twinchatoficial.com,twinchat,2019-07-19 11:49,dynamicsolutions,chi-node68.websitehostserver.net,,,
unifrio.com,unifrio,2018-01-10 20:50,dynamicsolutions,chi-node68.websitehostserver.net,,,
urologiaintegrada.com.mx,urologia,2017-09-04 17:07,dynamicsolutions,chi-node68.websitehostserver.net,,,
varquitect.com,varquitect,2018-02-28 13:23,dynamicsolutions,chi-node68.websitehostserver.net,,,
vinosamerica.com,vinosamerica,2017-10-16 16:05,dynamicsolutions,chi-node68.websitehostserver.net,,,
vinosamerica.mx,vinos,2018-03-14 18:30,dynamicsolutions,chi-node68.websitehostserver.net,,,
